# Time          5.0000E+02
# Units: Mol/kgw
    Distance           H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18        
    2.6200000E-01   -4.8798970E-03    1.4508254E-02    2.4395634E-03    2.5594783E-02    1.1564363E-03    5.2468072E-05    2.5761075E-02    1.0000000E-08    1.1902417E+00    1.0000004E+00    2.0467552E-03
    2.6600000E-01   -4.9517071E-03    1.4651874E-02    2.4754685E-03    2.5577107E-02    1.1556734E-03    5.2436024E-05    2.5743642E-02    1.0000000E-08    1.1900981E+00    1.0000004E+00    2.0467518E-03
    2.7000000E-01   -5.0234370E-03    1.4795334E-02    2.5113334E-03    2.5559450E-02    1.1549113E-03    5.2403965E-05    2.5726228E-02    1.0000000E-08    1.1899547E+00    1.0000004E+00    2.0467485E-03
    2.7400000E-01   -5.0950867E-03    1.4938633E-02    2.5471583E-03    2.5541813E-02    1.1541501E-03    5.2371895E-05    2.5708833E-02    1.0000000E-08    1.1898114E+00    1.0000004E+00    2.0467452E-03
    2.7800000E-01   -5.1666562E-03    1.5081772E-02    2.5829431E-03    2.5524196E-02    1.1533897E-03    5.2339816E-05    2.5691458E-02    1.0000000E-08    1.1896682E+00    1.0000004E+00    2.0467419E-03
    2.8200000E-01   -5.2381457E-03    1.5224751E-02    2.6186878E-03    2.5506598E-02    1.1526301E-03    5.2307727E-05    2.5674102E-02    1.0000000E-08    1.1895252E+00    1.0000004E+00    2.0467387E-03
    2.8600000E-01   -5.3095549E-03    1.5367570E-02    2.6543924E-03    2.5489021E-02    1.1518714E-03    5.2275630E-05    2.5656766E-02    1.0000000E-08    1.1893824E+00    1.0000004E+00    2.0467356E-03
    2.9000000E-01   -5.3808841E-03    1.5510228E-02    2.6900570E-03    2.5471463E-02    1.1511135E-03    5.2243526E-05    2.5639449E-02    1.0000000E-08    1.1892398E+00    1.0000004E+00    2.0467325E-03
    2.9400000E-01   -5.4521332E-03    1.5652726E-02    2.7256815E-03    2.5453925E-02    1.1503564E-03    5.2211414E-05    2.5622151E-02    1.0000000E-08    1.1890973E+00    1.0000004E+00    2.0467295E-03
    2.9800000E-01   -5.5233022E-03    1.5795064E-02    2.7612661E-03    2.5436407E-02    1.1496002E-03    5.2179296E-05    2.5604873E-02    1.0000000E-08    1.1889549E+00    1.0000004E+00    2.0467265E-03
    3.0200000E-01   -5.5943912E-03    1.5937242E-02    2.7968105E-03    2.5418909E-02    1.1488448E-03    5.2147172E-05    2.5587614E-02    1.0000000E-08    1.1888128E+00    1.0000004E+00    2.0467235E-03
    3.0600000E-01   -5.6654001E-03    1.6079260E-02    2.8323150E-03    2.5401431E-02    1.1480903E-03    5.2115043E-05    2.5570375E-02    1.0000000E-08    1.1886707E+00    1.0000004E+00    2.0467206E-03
    3.1000000E-01   -5.7363290E-03    1.6221118E-02    2.8677794E-03    2.5383972E-02    1.1473365E-03    5.2082909E-05    2.5553155E-02    1.0000000E-08    1.1885289E+00    1.0000004E+00    2.0467177E-03
    3.1400000E-01   -5.8071779E-03    1.6362816E-02    2.9032039E-03    2.5366534E-02    1.1465837E-03    5.2050771E-05    2.5535954E-02    1.0000000E-08    1.1883872E+00    1.0000004E+00    2.0467149E-03
    3.1800000E-01   -5.8779468E-03    1.6504353E-02    2.9385883E-03    2.5349115E-02    1.1458316E-03    5.2018630E-05    2.5518773E-02    1.0000000E-08    1.1882456E+00    1.0000004E+00    2.0467121E-03
    3.2200000E-01   -5.9486357E-03    1.6645731E-02    2.9739328E-03    2.5331716E-02    1.1450804E-03    5.1986486E-05    2.5501611E-02    1.0000000E-08    1.1881043E+00    1.0000004E+00    2.0467093E-03
    3.2600000E-01   -6.0192447E-03    1.6786949E-02    3.0092373E-03    2.5314336E-02    1.1443300E-03    5.1954340E-05    2.5484468E-02    1.0000000E-08    1.1879631E+00    1.0000004E+00    2.0467066E-03
    3.3000000E-01   -6.0897737E-03    1.6928007E-02    3.0445018E-03    2.5296977E-02    1.1435805E-03    5.1922192E-05    2.5467345E-02    1.0000000E-08    1.1878220E+00    1.0000004E+00    2.0467040E-03
    3.3400000E-01   -6.1602228E-03    1.7068905E-02    3.0797263E-03    2.5279637E-02    1.1428318E-03    5.1890042E-05    2.5450241E-02    1.0000000E-08    1.1876811E+00    1.0000004E+00    2.0467014E-03
    3.3800000E-01   -6.2305920E-03    1.7209644E-02    3.1149109E-03    2.5262317E-02    1.1420839E-03    5.1857893E-05    2.5433156E-02    1.0000000E-08    1.1875404E+00    1.0000004E+00    2.0466988E-03
    3.4200000E-01   -6.3008813E-03    1.7350222E-02    3.1500556E-03    2.5245017E-02    1.1413369E-03    5.1825743E-05    2.5416091E-02    1.0000000E-08    1.1873998E+00    1.0000004E+00    2.0466962E-03
    3.4600000E-01   -6.3710907E-03    1.7490641E-02    3.1851603E-03    2.5227736E-02    1.1405907E-03    5.1793594E-05    2.5399045E-02    1.0000000E-08    1.1872594E+00    1.0000004E+00    2.0466937E-03
    3.5000000E-01   -6.4412203E-03    1.7630900E-02    3.2202251E-03    2.5210476E-02    1.1398453E-03    5.1761445E-05    2.5382019E-02    1.0000000E-08    1.1871191E+00    1.0000004E+00    2.0466913E-03
    3.5400000E-01   -6.5112700E-03    1.7771000E-02    3.2552499E-03    2.5193235E-02    1.1391007E-03    5.1729299E-05    2.5365012E-02    1.0000000E-08    1.1869790E+00    1.0000004E+00    2.0466888E-03
    3.5800000E-01   -6.5812399E-03    1.7910940E-02    3.2902349E-03    2.5176013E-02    1.1383570E-03    5.1697154E-05    2.5348024E-02    1.0000000E-08    1.1868391E+00    1.0000004E+00    2.0466864E-03
    3.6200000E-01   -6.6511300E-03    1.8050720E-02    3.3251799E-03    2.5158812E-02    1.1376142E-03    5.1665012E-05    2.5331055E-02    1.0000000E-08    1.1866993E+00    1.0000004E+00    2.0466841E-03
    3.6600000E-01   -6.7209403E-03    1.8190340E-02    3.3600851E-03    2.5141630E-02    1.1368721E-03    5.1632873E-05    2.5314106E-02    1.0000000E-08    1.1865597E+00    1.0000004E+00    2.0466818E-03
    3.7000000E-01   -6.7906708E-03    1.8329801E-02    3.3949504E-03    2.5124468E-02    1.1361309E-03    5.1600737E-05    2.5297176E-02    1.0000000E-08    1.1864202E+00    1.0000005E+00    2.0466795E-03
    3.7400000E-01   -6.8603216E-03    1.8469103E-02    3.4297757E-03    2.5107326E-02    1.1353906E-03    5.1568606E-05    2.5280265E-02    1.0000000E-08    1.1862809E+00    1.0000005E+00    2.0466772E-03
    3.7800000E-01   -6.9298926E-03    1.8608245E-02    3.4645612E-03    2.5090204E-02    1.1346510E-03    5.1536479E-05    2.5263374E-02    1.0000000E-08    1.1861418E+00    1.0000005E+00    2.0466750E-03
    3.8200000E-01   -6.9993839E-03    1.8747228E-02    3.4993069E-03    2.5073101E-02    1.1339123E-03    5.1504357E-05    2.5246502E-02    1.0000000E-08    1.1860028E+00    1.0000005E+00    2.0466728E-03
    3.8600000E-01   -7.0687955E-03    1.8886051E-02    3.5340127E-03    2.5056018E-02    1.1331744E-03    5.1472241E-05    2.5229649E-02    1.0000000E-08    1.1858639E+00    1.0000005E+00    2.0466707E-03
    3.9000000E-01   -7.1381274E-03    1.9024715E-02    3.5686786E-03    2.5038955E-02    1.1324374E-03    5.1440131E-05    2.5212815E-02    1.0000000E-08    1.1857253E+00    1.0000005E+00    2.0466686E-03
    3.9400000E-01   -7.2073796E-03    1.9163219E-02    3.6033047E-03    2.5021911E-02    1.1317012E-03    5.1408027E-05    2.5196001E-02    1.0000000E-08    1.1855868E+00    1.0000005E+00    2.0466665E-03
    3.9800000E-01   -7.2765521E-03    1.9301564E-02    3.6378910E-03    2.5004887E-02    1.1309658E-03    5.1375929E-05    2.5179206E-02    1.0000000E-08    1.1854484E+00    1.0000005E+00    2.0466645E-03
    4.0200000E-01   -7.3456450E-03    1.9439750E-02    3.6724375E-03    2.4987883E-02    1.1302313E-03    5.1343839E-05    2.5162430E-02    1.0000000E-08    1.1853103E+00    1.0000005E+00    2.0466624E-03
    4.0600000E-01   -7.4146583E-03    1.9577776E-02    3.7069441E-03    2.4970899E-02    1.1294976E-03    5.1311757E-05    2.5145674E-02    1.0000000E-08    1.1851722E+00    1.0000005E+00    2.0466605E-03
    4.1000000E-01   -7.4835919E-03    1.9715644E-02    3.7414109E-03    2.4953934E-02    1.1287647E-03    5.1279683E-05    2.5128937E-02    1.0000000E-08    1.1850344E+00    1.0000005E+00    2.0466585E-03
    4.1400000E-01   -7.5524460E-03    1.9853352E-02    3.7758379E-03    2.4936989E-02    1.1280326E-03    5.1247618E-05    2.5112219E-02    1.0000000E-08    1.1848966E+00    1.0000005E+00    2.0466566E-03
    4.1800000E-01   -7.6212204E-03    1.9990901E-02    3.8102251E-03    2.4920063E-02    1.1273014E-03    5.1215561E-05    2.5095520E-02    1.0000000E-08    1.1847591E+00    1.0000005E+00    2.0466547E-03
    4.2200000E-01   -7.6899153E-03    2.0128290E-02    3.8445726E-03    2.4903158E-02    1.1265710E-03    5.1183514E-05    2.5078841E-02    1.0000000E-08    1.1846217E+00    1.0000005E+00    2.0466528E-03
    4.2600000E-01   -7.7585306E-03    2.0265521E-02    3.8788803E-03    2.4886272E-02    1.1258415E-03    5.1151477E-05    2.5062181E-02    1.0000000E-08    1.1844845E+00    1.0000005E+00    2.0466510E-03
    4.3000000E-01   -7.8270664E-03    2.0402593E-02    3.9131481E-03    2.4869406E-02    1.1251128E-03    5.1119450E-05    2.5045540E-02    1.0000000E-08    1.1843474E+00    1.0000005E+00    2.0466492E-03
    4.3400000E-01   -7.8955227E-03    2.0539505E-02    3.9473763E-03    2.4852559E-02    1.1243849E-03    5.1087434E-05    2.5028919E-02    1.0000000E-08    1.1842105E+00    1.0000005E+00    2.0466474E-03
    4.3800000E-01   -7.9638994E-03    2.0676259E-02    3.9815647E-03    2.4835732E-02    1.1236578E-03    5.1055429E-05    2.5012316E-02    1.0000000E-08    1.1840737E+00    1.0000005E+00    2.0466457E-03
    4.4200000E-01   -8.0321967E-03    2.0812853E-02    4.0157133E-03    2.4818925E-02    1.1229316E-03    5.1023435E-05    2.4995733E-02    1.0000000E-08    1.1839371E+00    1.0000005E+00    2.0466439E-03
    4.4600000E-01   -8.1004145E-03    2.0949289E-02    4.0498222E-03    2.4802137E-02    1.1222062E-03    5.0991453E-05    2.4979169E-02    1.0000000E-08    1.1838007E+00    1.0000005E+00    2.0466422E-03
    4.5000000E-01   -8.1685528E-03    2.1085565E-02    4.0838913E-03    2.4785369E-02    1.1214816E-03    5.0959483E-05    2.4962625E-02    1.0000000E-08    1.1836644E+00    1.0000005E+00    2.0466406E-03
    4.5400000E-01   -8.2366117E-03    2.1221683E-02    4.1179208E-03    2.4768621E-02    1.1207579E-03    5.0927525E-05    2.4946099E-02    1.0000000E-08    1.1835283E+00    1.0000005E+00    2.0466389E-03
    4.5800000E-01   -8.3045911E-03    2.1357642E-02    4.1519105E-03    2.4751892E-02    1.1200350E-03    5.0895581E-05    2.4929593E-02    1.0000000E-08    1.1833924E+00    1.0000005E+00    2.0466373E-03
    4.6200000E-01   -8.3724911E-03    2.1493442E-02    4.1858605E-03    2.4735183E-02    1.1193129E-03    5.0863650E-05    2.4913106E-02    1.0000000E-08    1.1832566E+00    1.0000005E+00    2.0466357E-03
    4.6600000E-01   -8.4403117E-03    2.1629083E-02    4.2197708E-03    2.4718494E-02    1.1185917E-03    5.0831732E-05    2.4896638E-02    1.0000000E-08    1.1831209E+00    1.0000005E+00    2.0466342E-03
    4.7000000E-01   -8.5080529E-03    2.1764566E-02    4.2536414E-03    2.4701824E-02    1.1178713E-03    5.0799828E-05    2.4880190E-02    1.0000000E-08    1.1829854E+00    1.0000005E+00    2.0466326E-03
    4.7400000E-01   -8.5757148E-03    2.1899889E-02    4.2874723E-03    2.4685174E-02    1.1171517E-03    5.0767939E-05    2.4863760E-02    1.0000000E-08    1.1828501E+00    1.0000005E+00    2.0466311E-03
    4.7800000E-01   -8.6432973E-03    2.2035054E-02    4.3212636E-03    2.4668543E-02    1.1164329E-03    5.0736064E-05    2.4847350E-02    1.0000000E-08    1.1827149E+00    1.0000005E+00    2.0466296E-03
