# Time          2.5000E+01
# Units: Mol/kgw
    Distance           H+               CO2(aq)          H2S(aq)          SO4--            S34O4--          SO184--          SO164--          Methane(aq)      Formaldehyde     H2O16            H2O18        
    4.2600000E-01   -1.9632764E-02    4.4013987E-02    9.8159968E-03    2.1984566E-02    9.9678744E-04    4.5226628E-05    2.2161749E-02    1.0000000E-08    1.1607360E+00    1.0000005E+00    2.0466793E-03
    4.3000000E-01   -1.9809681E-02    4.4367821E-02    9.9044553E-03    2.1941219E-02    9.9488009E-04    4.5140426E-05    2.2118631E-02    1.0000000E-08    1.1603822E+00    1.0000005E+00    2.0466779E-03
    4.3400000E-01   -1.9986432E-02    4.4721323E-02    9.9928307E-03    2.1897914E-02    9.9297450E-04    4.5054276E-05    2.2075552E-02    1.0000000E-08    1.1600287E+00    1.0000005E+00    2.0466764E-03
    4.3800000E-01   -2.0163016E-02    4.5074491E-02    1.0081123E-02    2.1854650E-02    9.9107066E-04    4.4968179E-05    2.2032515E-02    1.0000000E-08    1.1596755E+00    1.0000005E+00    2.0466750E-03
    4.4200000E-01   -2.0339433E-02    4.5427325E-02    1.0169331E-02    2.1811427E-02    9.8916859E-04    4.4882136E-05    2.1989517E-02    1.0000000E-08    1.1593227E+00    1.0000005E+00    2.0466737E-03
    4.4600000E-01   -2.0515682E-02    4.5779823E-02    1.0257456E-02    2.1768245E-02    9.8726829E-04    4.4796148E-05    2.1946561E-02    1.0000000E-08    1.1589702E+00    1.0000005E+00    2.0466723E-03
    4.5000000E-01   -2.0691762E-02    4.6131983E-02    1.0345496E-02    2.1725105E-02    9.8536978E-04    4.4710214E-05    2.1903645E-02    1.0000000E-08    1.1586180E+00    1.0000005E+00    2.0466710E-03
    4.5400000E-01   -2.0867672E-02    4.6483804E-02    1.0433451E-02    2.1682007E-02    9.8347305E-04    4.4624337E-05    2.1860770E-02    1.0000000E-08    1.1582662E+00    1.0000005E+00    2.0466697E-03
    4.5800000E-01   -2.1043413E-02    4.6835285E-02    1.0521321E-02    2.1638951E-02    9.8157812E-04    4.4538517E-05    2.1817937E-02    1.0000000E-08    1.1579147E+00    1.0000005E+00    2.0466685E-03
    4.6200000E-01   -2.1218982E-02    4.7186424E-02    1.0609106E-02    2.1595937E-02    9.7968500E-04    4.4452754E-05    2.1775145E-02    1.0000000E-08    1.1575636E+00    1.0000005E+00    2.0466672E-03
    4.6600000E-01   -2.1394380E-02    4.7537220E-02    1.0696805E-02    2.1552965E-02    9.7779369E-04    4.4367049E-05    2.1732395E-02    1.0000000E-08    1.1572128E+00    1.0000005E+00    2.0466660E-03
    4.7000000E-01   -2.1569606E-02    4.7887671E-02    1.0784418E-02    2.1510036E-02    9.7590420E-04    4.4281404E-05    2.1689686E-02    1.0000000E-08    1.1568623E+00    1.0000005E+00    2.0466648E-03
    4.7400000E-01   -2.1744658E-02    4.8237776E-02    1.0871944E-02    2.1467150E-02    9.7401654E-04    4.4195818E-05    2.1647020E-02    1.0000000E-08    1.1565122E+00    1.0000005E+00    2.0466637E-03
    4.7800000E-01   -2.1919537E-02    4.8587534E-02    1.0959383E-02    2.1424306E-02    9.7213071E-04    4.4110292E-05    2.1604396E-02    1.0000000E-08    1.1561625E+00    1.0000005E+00    2.0466625E-03
    4.8200000E-01   -2.2094241E-02    4.8936943E-02    1.1046736E-02    2.1381505E-02    9.7024672E-04    4.4024827E-05    2.1561813E-02    1.0000000E-08    1.1558131E+00    1.0000005E+00    2.0466614E-03
    4.8600000E-01   -2.2268771E-02    4.9286001E-02    1.1134000E-02    2.1338748E-02    9.6836459E-04    4.3939425E-05    2.1519274E-02    1.0000000E-08    1.1554640E+00    1.0000005E+00    2.0466603E-03
